"","V1","V2"
"665","AXIN2","TAF1"
"666","AXIN2","TBX3"
"667","AXIN2","THRAP3"
"668","AXIN2","ZC3H12A"
"669","AXIN2","ZMYM3"
"670","AXIN2","ZNF750"
"671","B2M","CD70"
"672","B2M","CDK4"
"673","B2M","CDKN1B"
"674","B2M","CDKN2C"
"675","B2M","CUL3"
"676","B2M","CYLD"
"677","B2M","CYSLTR2"
"678","B2M","DAZAP1"
"679","B2M","EGR3"
"680","B2M","ESR1"
"681","B2M","FOXA2"
"682","B2M","FUBP1"
"683","B2M","GNA11"
"684","B2M","H3F3A"
"685","B2M","HIST1H1E"
"686","B2M","HLA-A"
"687","B2M","HLA-B"
"688","B2M","IDH1"
"689","B2M","IDH2"
"690","B2M","IL6ST"
"691","B2M","IRF6"
"692","B2M","KDM5C"
"693","B2M","LATS2"
"694","B2M","MAP2K4"
"695","B2M","MEN1"
"696","B2M","MYC"
"697","B2M","MYCN"
"698","B2M","PMS1"
"699","B2M","PPM1D"
"700","B2M","PPP2R1A"
"701","B2M","PPP6C"
"702","B2M","PRKAR1A"
"703","B2M","RAC1"
"704","B2M","RAF1"
"705","B2M","RARA"
"706","B2M","RNF43"
"707","B2M","RPL5"
"708","B2M","SMAD2"
"709","B2M","SMARCB1"
"710","B2M","SOX17"
"711","B2M","TGFBR2"
"712","B2M","TRAF3"
"713","B2M","U2AF1L4"
"714","B2M","WT1"
"715","BAP1","BCOR"
"716","BAP1","BRAF"
"717","BAP1","CARD11"
"718","BAP1","CTNNB1"
"719","BAP1","EEF2"
"720","BAP1","EGFR"
"721","BAP1","EPAS1"
"722","BAP1","FGFR2"
"723","BAP1","FOXQ1"
"724","BAP1","GNA13"
"725","BAP1","HGF"
"726","BAP1","JAK3"
"727","BAP1","LATS1"
"728","BAP1","MSH2"
"729","BAP1","MUC6"
"730","BAP1","PDS5B"
"731","BAP1","PLCG1"
"732","BAP1","PTEN"
"733","BAP1","PTPRC"
"734","BAP1","SETBP1"
"735","BAP1","SF1"
"736","BAP1","SIN3A"
"737","BAP1","TAF1"
"738","BAP1","USP9X"
"739","BAP1","ZMYM3"
"740","BAP1","ZNF750"
"741","BCL2","BCL2L11"
"742","BCL2","CBFB"
"743","BCL2","CD79B"
"744","BCL2","CDK4"
"745","BCL2","CDKN1B"
"746","BCL2","CDKN2C"
"747","BCL2","CEBPA"
"748","BCL2","CYLD"
"749","BCL2","CYSLTR2"
"750","BCL2","DAZAP1"
"751","BCL2","GNA11"
"752","BCL2","GNAQ"
"753","BCL2","H3F3C"
"754","BCL2","HLA-A"
"755","BCL2","IDH2"
"756","BCL2","LEMD2"
"757","BCL2","MAP2K1"
"758","BCL2","MAP2K4"
